State,Year,Quater,Districts,District_Transation_count,District_Transation_amount
bihar,2019,4,saran,1039542,2265346427.1538324
bihar,2020,1,vaishali,1177251,2609194507.873907
bihar,2020,2,samastipur,1536299,3614031763.2833586
bihar,2020,3,vaishali,2036376,4585312142.295209
bihar,2020,4,siwan,2923089,7277805273.892392
bihar,2021,1,samastipur,2833659,7326852418.778886
bihar,2021,2,saran,4392087,10815034968.865551
bihar,2021,3,saran,4909074,10653230755.208593
bihar,2021,4,saran,6615773,15141561808.042286
bihar,2022,1,purnia,7761464,17165083851.272972
bihar,2022,2,purnia,9889577,21758789746.188175
bihar,2022,3,madhubani,9999220,19516793344.794163
bihar,2022,4,siwan,12408052,23745856584.586132
chandigarh,2018,1,chandigarh,381895,613435420.8676233
chandigarh,2018,2,chandigarh,479084,961223261.74473
chandigarh,2018,3,chandigarh,616936,1369354447.5343118
chandigarh,2018,4,chandigarh,905116,2032591591.779975
chandigarh,2019,1,chandigarh,1274476,2396032050.444029
chandigarh,2019,2,chandigarh,1252470,2693116098.9444556
chandigarh,2019,3,chandigarh,1506543,3269682087.660841
chandigarh,2019,4,chandigarh,1850915,4152513817.939354
chandigarh,2020,1,chandigarh,2262511,5126453070.016205
chandigarh,2020,2,chandigarh,1528010,3847015729.690074
chandigarh,2020,3,chandigarh,2158086,5089809353.36507
chandigarh,2020,4,chandigarh,2912716,6146762901.349346
chandigarh,2021,1,chandigarh,3970237,7596420859.545994
chandigarh,2021,2,chandigarh,4417547,8417673939.9361
chandigarh,2021,3,chandigarh,6649378,11815883004.693304
chandigarh,2021,4,chandigarh,7898903,14373583510.61845
chandigarh,2022,1,chandigarh,8600491,15174991549.840002
chandigarh,2022,2,chandigarh,10772489,17283500158.371002
chandigarh,2022,3,chandigarh,13478173,20559757737.405857
chandigarh,2022,4,chandigarh,17904840,27879754566.939415
chhattisgarh,2018,1,"baloda bazar",61987,55455251.90835041
chhattisgarh,2018,2,"baloda bazar",92920,133808358.16844037
chhattisgarh,2018,3,surguja,123129,222467433.69994545
chhattisgarh,2018,4,surguja,174043,354179706.54506606
chhattisgarh,2019,1,mahasamund,195292,369728146.1505085
chhattisgarh,2019,2,mahasamund,186376,391467746.3395828
chhattisgarh,2019,3,mahasamund,245614,451812545.4709327
chhattisgarh,2019,4,mahasamund,320354,610936099.4831579
chhattisgarh,2020,1,mahasamund,395381,712257295.5688998
chhattisgarh,2020,2,surguja,533916,943051720.5904518
chhattisgarh,2020,3,surguja,707337,1327658513.4476824
chhattisgarh,2020,4,mahasamund,1034749,1951224040.2379332
chhattisgarh,2021,1,mahasamund,1084511,2220399814.3984013
chhattisgarh,2021,2,surguja,1332917,2575596438.475781
chhattisgarh,2021,3,mahasamund,1814073,3248154697.285629
chhattisgarh,2021,4,mahasamund,2324300,4025481736.7157373
chhattisgarh,2022,1,mahasamund,2788159,5020017743.469414
chhattisgarh,2022,2,mahasamund,3288014,5542158574.479666
chhattisgarh,2022,3,mahasamund,3300018,5221786624.788328
chhattisgarh,2022,4,mahasamund,3890208,6294827909.790523
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,diu,5593,6434481.929188873
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,diu,6279,10736607.177110624
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,diu,7087,13784358.656098008
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,diu,9502,19252174.323347375
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,diu,16037,21939140.020587962
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,diu,29130,55383383.84612378
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,diu,17203,32940133.54162597
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,diu,21474,46692370.12824968
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,diu,23966,46606086.663000636
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,diu,23866,42875002.19781082
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,diu,26588,51864159.697919816
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,diu,41821,95658202.77082601
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,diu,42608,96420384.49176355
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,diu,41014,101909220.66644716
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,diu,66259,157454301.25334743
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,diu,88402,206127240.56872404
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,diu,94833,213403088.016084
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,diu,130835,288821560.5151377
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,diu,148559,279739481.9642375
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,diu,154870,296319509.67041874
delhi,2018,1,shahdara,193886,326458215.38394874
delhi,2018,2,shahdara,272663,533105673.5945449
delhi,2018,3,shahdara,481819,805520386.5670927
delhi,2018,4,shahdara,987533,1305320182.496128
delhi,2019,1,shahdara,1402956,1800644587.5922666
delhi,2019,2,shahdara,1439856,2125041674.940278
delhi,2019,3,shahdara,1929681,2840221012.8598523
delhi,2019,4,shahdara,2149197,3597910765.0530796
delhi,2020,1,shahdara,2148023,3847703306.254819
delhi,2020,2,"north east",2229412,3393429629.3164525
delhi,2020,3,"north east",2910048,5488227059.169053
delhi,2020,4,shahdara,4208254,9392225302.24066
delhi,2021,1,shahdara,4235592,9595155648.30619
delhi,2021,2,"north east",4567057,9118331386.987755
delhi,2021,3,shahdara,6108459,13750322170.230267
delhi,2021,4,shahdara,7518346,17929102853.313446
delhi,2022,1,"north east",8357217,17814230282.345295
delhi,2022,2,shahdara,10060246,22195136725.333412
delhi,2022,3,shahdara,10220528,21361296110.510616
delhi,2022,4,shahdara,11420073,24438534174.92784
goa,2018,1,"south goa",65783,116748450.35783319
goa,2018,2,"south goa",96146,187788942.99917686
goa,2018,3,"south goa",144785,291902680.78434587
goa,2018,4,"south goa",209375,438125180.3228017
goa,2019,1,"south goa",297005,534459044.9593618
goa,2019,2,"south goa",298191,571032241.535074
goa,2019,3,"south goa",418445,707353884.2285295
goa,2019,4,"south goa",535041,959838914.9572154
goa,2020,1,"south goa",603850,1035864031.0582266
goa,2020,2,"south goa",598397,888964620.6248364
goa,2020,3,"south goa",750409,1280721658.2614956
goa,2020,4,"south goa",1297003,2187791368.837076
goa,2021,1,"south goa",1533628,2637842229.458396
goa,2021,2,"south goa",1626496,2621399702.202361
goa,2021,3,"south goa",2185161,3436270181.327051
goa,2021,4,"south goa",3280211,5160212288.320821
goa,2022,1,"south goa",3700525,5740805558.964066
goa,2022,2,"south goa",4216281,6388195726.492123
goa,2022,3,"south goa",4877989,6497339467.392014
goa,2022,4,"south goa",5737184,7656551999.340998
gujarat,2018,1,bhavnagar,182948,171495425.58982483
gujarat,2018,2,bhavnagar,253332,265850891.74358377
gujarat,2018,3,bhavnagar,374470,397576856.4658471
gujarat,2018,4,valsad,468363,753128666.5596428
gujarat,2019,1,valsad,750124,983591069.6663814
gujarat,2019,2,"banas kantha",642084,1108185173.7200396
gujarat,2019,3,"banas kantha",909575,1343558301.6357625
gujarat,2019,4,valsad,1028011,1666399666.233092
gujarat,2020,1,mahesana,1294012,2067093335.3061204
gujarat,2020,2,rajkot,1360781,2344811087.112481
gujarat,2020,3,rajkot,1490309,2995153084.6346493
gujarat,2020,4,rajkot,1980653,4184580562.7370853
gujarat,2021,1,rajkot,2278417,5057583315.413301
gujarat,2021,2,rajkot,2675842,5707346831.237131
gujarat,2021,3,rajkot,3586356,7726777654.637351
gujarat,2021,4,rajkot,4398724,9808446763.924477
gujarat,2022,1,rajkot,5044420,11183107357.249798
gujarat,2022,2,rajkot,6063252,12629937169.82262
gujarat,2022,3,mahesana,6403784,12429803356.66823
gujarat,2022,4,mahesana,7160396,14173625244.242262
haryana,2018,1,rohtak,121728,215207976.23801103
haryana,2018,2,rohtak,179677,372787270.2835766
haryana,2018,3,sirsa,222321,409263123.8749541
haryana,2018,4,ambala,313017,778868451.264339
haryana,2019,1,jhajjar,548076,1042049466.2823191
haryana,2019,2,jhajjar,569289,1308026488.612537
haryana,2019,3,jhajjar,755297,1642655006.4215214
haryana,2019,4,jhajjar,965474,2147473030.3808532
haryana,2020,1,mewat,1241283,3154872672.0695767
haryana,2020,2,mewat,1598705,3658746771.705061
haryana,2020,3,rohtak,1740356,4643691557.73987
haryana,2020,4,jhajjar,2429140,5544973431.463554
haryana,2021,1,rohtak,2708295,6792159646.748035
haryana,2021,2,karnal,3501189,7822099240.647442
haryana,2021,3,karnal,4403307,8835919266.381252
haryana,2021,4,karnal,5416815,11527031601.801613
haryana,2022,1,karnal,6097787,12324299904.907103
haryana,2022,2,karnal,7462000,14355989091.566263
haryana,2022,3,karnal,9139842,16912349321.593098
haryana,2022,4,mewat,11181774,20507941017.884888
himachal-pradesh,2018,1,bilaspur,21880,20215586.707121648
himachal-pradesh,2018,2,bilaspur,30705,41392933.9580691
himachal-pradesh,2018,3,bilaspur,37993,56133326.966728725
himachal-pradesh,2018,4,bilaspur,51395,92955686.23996082
himachal-pradesh,2019,1,bilaspur,73141,109483745.6606721
himachal-pradesh,2019,2,chamba,62922,128008869.00606377
himachal-pradesh,2019,3,chamba,87489,151224161.28503346
himachal-pradesh,2019,4,chamba,111755,196209094.0899575
himachal-pradesh,2020,1,chamba,139862,213171894.7803222
himachal-pradesh,2020,2,bilaspur,191375,284432330.03137827
himachal-pradesh,2020,3,bilaspur,202526,342802524.6465795
himachal-pradesh,2020,4,bilaspur,275513,518335916.8663252
himachal-pradesh,2021,1,bilaspur,256578,504967322.0491565
himachal-pradesh,2021,2,bilaspur,322915,613068902.4728887
himachal-pradesh,2021,3,bilaspur,364475,689922524.099928
himachal-pradesh,2021,4,bilaspur,430870,844889571.9622381
himachal-pradesh,2022,1,bilaspur,472169,885425010.4453132
himachal-pradesh,2022,2,bilaspur,597379,1083546519.8422945
himachal-pradesh,2022,3,hamirpur,934529,1398047775.1680303
himachal-pradesh,2022,4,bilaspur,622642,1042618597.1158305
jammu-&-kashmir,2018,1,ganderbal,20571,9107649.670974826
jammu-&-kashmir,2018,2,kulgam,30822,17711007.626695573
jammu-&-kashmir,2018,3,udhampur,37014,92258254.83476217
jammu-&-kashmir,2018,4,pulwama,43706,109777843.14790586
jammu-&-kashmir,2019,1,kulgam,64816,58528128.30016053
jammu-&-kashmir,2019,2,rajouri,59741,189339489.0274282
jammu-&-kashmir,2019,3,pulwama,33089,104266797.68078922
jammu-&-kashmir,2019,4,baramulla,8345,30863315.57342449
jammu-&-kashmir,2020,1,pulwama,26598,76212175.43966158
jammu-&-kashmir,2020,2,pulwama,85402,271480260.94137585
jammu-&-kashmir,2020,3,pulwama,114833,372238070.39747894
jammu-&-kashmir,2020,4,rajouri,196713,567890456.5176736
jammu-&-kashmir,2021,1,samba,201873,489544571.0195804
jammu-&-kashmir,2021,2,samba,272944,627782719.5376384
jammu-&-kashmir,2021,3,samba,352992,822873576.4759533
jammu-&-kashmir,2021,4,pulwama,462342,988006961.9135485
jammu-&-kashmir,2022,1,pulwama,508605,1004677770.5886712
jammu-&-kashmir,2022,2,samba,783532,1573110669.1012697
jammu-&-kashmir,2022,3,kathua,834884,1473463666.339784
jammu-&-kashmir,2022,4,pulwama,963378,1594427876.0287037
jharkhand,2018,1,deoghar,70058,91100585.73781538
jharkhand,2018,2,deoghar,96438,148363954.84218916
jharkhand,2018,3,deoghar,152113,198908051.87959886
jharkhand,2018,4,deoghar,152383,236116834.01685226
jharkhand,2019,1,koderma,206484,382615731.9092488
jharkhand,2019,2,deoghar,216404,385121235.74762386
jharkhand,2019,3,deoghar,344455,555613175.4677337
jharkhand,2019,4,deoghar,411994,652381524.6441478
jharkhand,2020,1,deoghar,434837,757609415.2029015
jharkhand,2020,2,"saraikela kharsawan",587527,766916078.3234978
jharkhand,2020,3,deoghar,696852,1245632763.5577192
jharkhand,2020,4,garhwa,1066915,3132518917.570641
jharkhand,2021,1,garhwa,1096691,3661839156.389298
jharkhand,2021,2,garhwa,1508109,4795351244.711267
jharkhand,2021,3,"saraikela kharsawan",1902736,2794551681.2667665
jharkhand,2021,4,"saraikela kharsawan",2464688,3572566246.9868546
jharkhand,2022,1,garhwa,3083712,8114726164.818388
jharkhand,2022,2,garhwa,3818360,9098354638.470043
jharkhand,2022,3,koderma,3729215,6719612545.072683
jharkhand,2022,4,deoghar,4399812,6832642718.442626
karnataka,2018,1,bidar,148528,219204065.8266272
karnataka,2018,2,bidar,201824,419997599.5748527
karnataka,2018,3,kolar,306174,575358671.1529725
karnataka,2018,4,kalaburagi,484662,1051812356.8478899
karnataka,2019,1,tumakuru,926600,1788430415.4750216
karnataka,2019,2,ramanagara,988447,1917887093.7086911
karnataka,2019,3,davanagere,1351913,2163728718.7321467
karnataka,2019,4,davanagere,2063312,3345622513.6539807
karnataka,2020,1,davanagere,2704786,4892688445.769339
karnataka,2020,2,shivamogga,3119744,5814372127.285877
karnataka,2020,3,davanagere,5205295,10283937898.613035
karnataka,2020,4,davanagere,7262656,14015672346.829771
karnataka,2021,1,kolar,7957144,14724582470.437292
karnataka,2021,2,kolar,9352225,17435526726.61021
karnataka,2021,3,kolar,12345736,22985772793.69687
karnataka,2021,4,shivamogga,15695558,27830702801.550133
karnataka,2022,1,shivamogga,19949316,36172162298.55464
karnataka,2022,2,shivamogga,24024769,42192013838.99083
karnataka,2022,3,"dakshina kannada",17248777,25239674044.223103
karnataka,2022,4,"dakshina kannada",20604812,30207470651.062298
kerala,2018,1,alappuzha,74941,95014765.51241212
kerala,2018,2,alappuzha,101141,157158524.65667993
kerala,2018,3,alappuzha,129138,208917711.7163746
kerala,2018,4,alappuzha,180730,307021229.6677927
kerala,2019,1,alappuzha,252186,388624847.98847747
kerala,2019,2,alappuzha,282582,473109181.5959674
kerala,2019,3,alappuzha,412404,649647317.8447716
kerala,2019,4,alappuzha,581762,859960789.4064287
kerala,2020,1,alappuzha,655979,939182379.108365
kerala,2020,2,alappuzha,755556,942056560.3210676
kerala,2020,3,kottayam,1001447,1888052939.6003127
kerala,2020,4,kottayam,1486474,2688432124.5928073
kerala,2021,1,alappuzha,1681817,2825682876.840207
kerala,2021,2,alappuzha,1921008,3048000026.8000603
kerala,2021,3,alappuzha,2505822,4227398745.1447935
kerala,2021,4,alappuzha,3177335,5086522403.521093
kerala,2022,1,alappuzha,3687088,5795828219.423044
kerala,2022,2,alappuzha,4151240,6503782725.4786625
kerala,2022,3,kannur,5631041,8674487770.19761
kerala,2022,4,alappuzha,6094707,8414450111.973735
ladakh,2018,1,kargil,1244,3430931.079044319
ladakh,2018,2,kargil,4041,14170742.18486436
ladakh,2018,3,kargil,6149,20173133.975538384
ladakh,2018,4,kargil,8373,31643842.130934663
ladakh,2019,1,kargil,9825,34328560.502981424
ladakh,2019,2,kargil,15289,57479644.79749023
ladakh,2019,3,kargil,13855,47841053.992474176
ladakh,2019,4,kargil,5302,22099751.43707087
ladakh,2020,1,kargil,24169,68749860.73527025
ladakh,2020,2,kargil,38403,125414514.13487196
ladakh,2020,3,kargil,53708,183140893.83021227
ladakh,2020,4,kargil,79680,242682676.5979519
ladakh,2021,1,kargil,58756,181498257.68860364
ladakh,2021,2,kargil,91914,284985335.7109178
ladakh,2021,3,kargil,128949,444521407.39904046
ladakh,2021,4,kargil,134957,416648293.6797176
ladakh,2022,1,kargil,129349,371130651.7757771
ladakh,2022,2,kargil,229338,644363529.2719021
ladakh,2022,3,kargil,244513,647171126.7724075
ladakh,2022,4,kargil,233208,548410667.5396476
lakshadweep,2018,1,lakshadweep,778,1928611.1808777403
lakshadweep,2018,2,lakshadweep,2132,6187809.539400538
lakshadweep,2018,3,lakshadweep,1703,4339032.311985849
lakshadweep,2018,4,lakshadweep,1642,4463213.698222831
lakshadweep,2019,1,lakshadweep,2481,8786130.479338996
lakshadweep,2019,2,lakshadweep,2926,9242524.13698889
lakshadweep,2019,3,lakshadweep,3104,9651761.46376847
lakshadweep,2019,4,lakshadweep,3765,11269913.40492385
lakshadweep,2020,1,lakshadweep,5151,13502368.574504208
lakshadweep,2020,2,lakshadweep,7220,16942922.08594439
lakshadweep,2020,3,lakshadweep,8589,21306833.308656827
lakshadweep,2020,4,lakshadweep,11650,30111317.917080387
lakshadweep,2021,1,lakshadweep,9085,27042782.914081156
lakshadweep,2021,2,lakshadweep,11384,27383463.65795153
lakshadweep,2021,3,lakshadweep,13370,38803163.698768154
lakshadweep,2021,4,lakshadweep,15470,50998185.528381005
lakshadweep,2022,1,lakshadweep,16397,54939432.65393007
lakshadweep,2022,2,lakshadweep,17569,55929601.98990567
lakshadweep,2022,3,lakshadweep,15241,47580009.61750026
lakshadweep,2022,4,lakshadweep,17147,54813873.614936255
madhya-pradesh,2018,1,dhar,183246,206440756.11008483
madhya-pradesh,2018,2,dhar,238497,351923712.98836184
madhya-pradesh,2018,3,dhar,425936,570906796.1316426
madhya-pradesh,2018,4,dewas,501654,821092172.381887
madhya-pradesh,2019,1,rewa,866533,1138882577.7546175
madhya-pradesh,2019,2,dewas,705805,1221413819.1866453
madhya-pradesh,2019,3,dhar,895526,1358217450.0838826
madhya-pradesh,2019,4,rewa,1160674,2078184265.1862037
madhya-pradesh,2020,1,rewa,1358528,2622020903.5922184
madhya-pradesh,2020,2,dhar,1792207,2906918483.5859733
madhya-pradesh,2020,3,rewa,2086383,3959365505.5119104
madhya-pradesh,2020,4,rewa,3045335,6440539078.097477
madhya-pradesh,2021,1,sagar,3149917,5653447301.758538
madhya-pradesh,2021,2,rewa,3692722,8211449728.951238
madhya-pradesh,2021,3,sagar,4691027,8366148265.503399
madhya-pradesh,2021,4,rewa,6195961,12315058116.409243
madhya-pradesh,2022,1,sagar,7000254,11999611899.066284
madhya-pradesh,2022,2,rewa,8417985,16928268530.619324
madhya-pradesh,2022,3,sehore,8802203,12815375203.387741
madhya-pradesh,2022,4,rewa,9898698,16813110581.034153
maharashtra,2018,1,kolhapur,351519,354723905.37194455
maharashtra,2018,2,raigad,469802,849899520.0504556
maharashtra,2018,3,raigad,717318,1362324762.6075263
maharashtra,2018,4,palghar,1088141,1842460037.4482036
maharashtra,2019,1,solapur,1711532,2915291684.2363386
maharashtra,2019,2,ahmednagar,1790440,3545962730.754202
maharashtra,2019,3,raigad,2748252,4158566617.3787417
maharashtra,2019,4,raigad,3562595,5355626917.650449
maharashtra,2020,1,raigad,4244606,6091061427.355885
maharashtra,2020,2,raigad,4056198,5669347658.182283
maharashtra,2020,3,palghar,5046305,7298216466.360156
maharashtra,2020,4,palghar,8070045,11789420098.043339
maharashtra,2021,1,raigad,10673549,15596964081.61911
maharashtra,2021,2,raigad,11509927,16915509520.363083
maharashtra,2021,3,raigad,15666356,21716387176.67746
maharashtra,2021,4,raigad,19999796,27241010089.090332
maharashtra,2022,1,raigad,22836136,30642123149.62334
maharashtra,2022,2,raigad,26465986,34460851150.869255
maharashtra,2022,3,raigad,28475145,36394835874.96223
maharashtra,2022,4,raigad,32354836,40318975044.959946
manipur,2018,1,tamenglong,1007,1709209.2458958817
manipur,2018,2,tengnoupal,2080,6077962.2428630125
manipur,2018,3,tengnoupal,3282,13385091.180977922
manipur,2018,4,tamenglong,4866,13057576.00717781
manipur,2019,1,tengnoupal,6064,21054191.304917276
manipur,2019,2,tengnoupal,6226,22523708.105631053
manipur,2019,3,chandel,9230,20201420.061846673
manipur,2019,4,chandel,11650,30393939.87145141
manipur,2020,1,ukhrul,13355,30659040.231015503
manipur,2020,2,tamenglong,21294,47020896.803083815
manipur,2020,3,tamenglong,24595,57102594.74572652
manipur,2020,4,tamenglong,27674,77956516.78360562
manipur,2021,1,senapati,22025,73777202.51436572
manipur,2021,2,senapati,25681,70219657.8819672
manipur,2021,3,tamenglong,33266,108769884.2048046
manipur,2021,4,chandel,39891,131651667.09783676
manipur,2022,1,kakching,45714,129009720.36301751
manipur,2022,2,chandel,44845,161255425.28835768
manipur,2022,3,senapati,46116,141106697.64180186
manipur,2022,4,tengnoupal,49553,175755833.19199604
meghalaya,2018,1,"south garo hills",705,807410.0407250253
meghalaya,2018,2,"west khasi hills",742,684129.9552836155
meghalaya,2018,3,"west khasi hills",1228,2146208.196912882
meghalaya,2018,4,"east garo hills",2808,5832920.483690145
meghalaya,2019,1,"south garo hills",3146,7486873.33081286
meghalaya,2019,2,"west khasi hills",3012,4711717.239687435
meghalaya,2019,3,"west khasi hills",4604,6779362.1133165285
meghalaya,2019,4,"west khasi hills",5296,8007467.1825601505
meghalaya,2020,1,"west khasi hills",7569,12185453.500704024
meghalaya,2020,2,"west khasi hills",14911,13551099.230221383
meghalaya,2020,3,"west khasi hills",15031,19820539.50357129
meghalaya,2020,4,"west khasi hills",18440,41431802.48173465
meghalaya,2021,1,"west khasi hills",16947,60183253.84696514
meghalaya,2021,2,"west khasi hills",16590,41326043.50138934
meghalaya,2021,3,"west khasi hills",17524,45708478.00363463
meghalaya,2021,4,"south garo hills",28989,89662812.04398018
meghalaya,2022,1,"west khasi hills",36687,148090837.06952718
meghalaya,2022,2,"west khasi hills",31223,103764884.88347426
meghalaya,2022,3,"west khasi hills",29296,87822016.1025165
meghalaya,2022,4,"west khasi hills",41404,141954215.09290665
mizoram,2018,1,champhai,453,871005.7153709702
mizoram,2018,2,lawngtlai,627,1375226.7520610169
mizoram,2018,3,saiha,1060,6004487.220311114
mizoram,2018,4,saiha,1299,7552316.893169427
mizoram,2019,1,champhai,1865,6683655.297350604
mizoram,2019,2,saiha,1897,7884158.20574963
mizoram,2019,3,saiha,2722,10739243.821443643
mizoram,2019,4,saiha,3008,13805068.176785678
mizoram,2020,1,saiha,4119,14713548.478265904
mizoram,2020,2,saiha,6775,19711305.598098427
mizoram,2020,3,saiha,7107,24796870.137284856
mizoram,2020,4,saiha,8995,40835573.753559604
mizoram,2021,1,saiha,8038,35378443.37986354
mizoram,2021,2,saiha,10633,41046228.48202239
mizoram,2021,3,saiha,11182,43455371.73017335
mizoram,2021,4,saiha,11986,54122948.934775494
mizoram,2022,1,saiha,14364,64447851.87228675
mizoram,2022,2,saiha,16320,71937273.17240411
mizoram,2022,3,saiha,14990,62352784.58970161
mizoram,2022,4,saiha,19566,82040637.84033793
nagaland,2018,1,peren,587,1228042.9089448638
nagaland,2018,2,longleng,526,606015.5837374015
nagaland,2018,3,peren,1349,3565504.3902161866
nagaland,2018,4,kiphire,2008,3577703.453553167
